car_id,year,make,model_trim_as_listed,hvt_url,hvt_spec,edition_date,v1_value,v1_hi,v1_lo,v2_value,v2_hi,v2_lo,v3_value,v3_hi,v3_lo,v4_value,v4_hi,v4_lo,quarterly_change,annual_change,three_year_change,trend_1_date,trend_1_value,trend_2_date,trend_2_value,trend_3_date,trend_3_value,trend_4_date,trend_4_value,exact_match,notes
38,1991,Ferrari,348 TS,https://www.hagerty.com/valuation-tools/ferrari/348_ts/1991/1991-ferrari-348_ts-base?id=aCn1I000000DFCCSA4,"2dr Targa-Top, 8-cyl. 3405cc/300hp Bosch Motronic PFI",Jul 2026,"$113,000","$116,667","$109,333","$102,000","$105,667","$96,100","$84,300","$90,200","$75,533","$58,000","$66,767","$49,233",0%,+4.1%,+9.2%,Jul 2026,"$84,300",Apr 2026,"$84,300",Jan 2026,"$82,600",Oct 2025,"$82,600",yes,No adjustments available. Value-history chart tooltips could not be reliably verified. | SPEC DIFFERS
39,1985,Ferrari,308 GTS QV,https://www.hagerty.com/valuation-tools/ferrari/308_gts/1985/1985-ferrari-308_gts-quattrovalvole?id=aCn1I000000DPLUSA4,"2dr Spider, 8-cyl. 2927cc/230hp FI",Jul 2026,"$166,000","$174,000","$158,000","$142,000","$150,000","$129,333","$104,000","$116,667","$90,033","$62,100","$76,067","$48,133",0%,-2.8%,+5.4%,Jul 2026,"$104,000",Apr 2026,"$104,000",Jan 2026,"$104,000",Oct 2025,"$103,000",yes,No adjustments available. QV equals Quattrovalvole. Value-history chart tooltips could not be reliably verified.
40,1991,BMW,M3 (E30),https://www.hagerty.com/valuation-tools/bmw/m3/1991/1991-bmw-m3-base?id=aCn1I000000DRrYSAW,"2dr Coupe, 4-cyl. 2302cc/192hp PFI",Jul 2026,"$231,000","$260,333","$201,667","$143,000","$172,333","$117,867","$67,600","$92,733","$57,700","$37,900","$47,800","$28,000",+3%,+5%,-7.7%,Jul 2026,"$67,600",Apr 2026,"$65,600",Jan 2026,"$68,300",Oct 2025,"$68,300",yes,No adjustments available. Generation 1986-1992 BMW M3 (E30). Value-history chart tooltips could not be reliably verified.
41,1988,BMW,M5 (E28),https://www.hagerty.com/valuation-tools/bmw/m5/1988/1988-bmw-m5-base?id=aCn1I000000DUukSAG,"4dr Sedan, 6-cyl. 3453cc/256hp FI",Jul 2026,"$191,000","$215,667","$166,333","$117,000","$141,667","$97,167","$57,500","$77,333","$44,467","$18,400","$31,433","$5,367",0%,+35.3%,+3.4%,Jul 2026,"$57,500",Apr 2026,"$57,500",Jan 2026,"$47,900",Oct 2025,"$48,900",yes,No adjustments available. Generation 1988 BMW M5 (E28). Trends verified from rendered chart tooltips.
42,1995,BMW,M3 coupe (E36),https://www.hagerty.com/valuation-tools/bmw/m3/1995/1995-bmw-m3-base?id=aCn1I000000CsTZSA0,"2dr Coupe, 6-cyl. 3152cc/240hp FI",Jul 2026,"$99,800","$112,633","$86,967","$61,300","$74,133","$50,300","$28,300","$39,300","$22,467","$10,800","$16,633","$4,967",+1.1%,-2.7%,-4.1%,Jul 2026,"$28,300",Apr 2026,"$28,000",Jan 2026,"$28,100",Oct 2025,"$26,500",yes,"-15% for auto transmission, +50% for Euro specification (not applied). Generation 1995-1999 BMW M3 (E36). Jul 2026 trend not verified, left blank. | -15% for auto transmission; +50% for Euro specification"
43,1990,Mercedes-Benz,560SL,https://www.hagerty.com/valuation-tools/mercedes~benz/560sl/1989/1989-mercedes~benz-560sl-base?id=aCn1I000000DCf6SAG,"2dr Roadster, 8-cyl. 5549cc/227hp MFI",Jul 2026,"$143,000","$172,300","$113,700","$55,100","$84,400","$44,533","$23,400","$33,967","$18,333","$8,200","$13,267","$3,133",0%,-4.1%,-3.3%,Jul 2026,"$23,400",Apr 2026,"$23,400",Jan 2026,"$24,400",Oct 2025,"$24,400",substituted,"HVT has no 1990 560SL, 560SL was 1986-1989 R107, using 1989 last model year. No adjustments available."
44,1992,Mercedes-Benz,500E,https://www.hagerty.com/valuation-tools/mercedes~benz/500e/1992/1992-mercedes~benz-500e-base?id=aCn1I000000Cv88SAC,"4dr Sedan, 8-cyl. 4983cc/315hp MPFI",Jul 2026,"$116,000","$128,967","$103,033","$77,100","$90,067","$64,567","$39,500","$52,033","$30,700","$13,100","$21,900","$4,300",0%,0%,+2.3%,Jul 2026,"$39,500",Apr 2026,"$39,500",Jan 2026,"$39,500",Oct 2025,"$39,500",yes,No adjustments available. Generation 1984-1995 Mercedes-Benz W124.
45,1994,Toyota,Supra Turbo,https://www.hagerty.com/valuation-tools/toyota/supra/1994/1994-toyota-supra-mk_iv_turbo?id=aCn1I000000DADMSA4,"2dr Coupe, 6-cyl. 2997cc/320hp FI Twin Turbo",Jul 2026,"$284,000","$321,333","$246,667","$172,000","$209,333","$144,000","$88,000","$116,000","$76,233","$52,700","$64,467","$40,933",0%,-4.3%,-8.7%,Jul 2026,"$88,000",Apr 2026,"$88,000",Jan 2026,"$100,000",Oct 2025,"$100,000",yes,-15% for auto transmission (not applied). Generation 1993-1998 Toyota Supra.
46,1993,Mazda,RX-7,https://www.hagerty.com/valuation-tools/mazda/rx~7/1993/1993-mazda-rx~7-base?id=aCn1I000000CrIpSAK,"2dr Coupe, 2-cyl. 1308cc/255hp Twin Turbo",Jul 2026,"$84,300","$91,433","$77,167","$62,900","$70,033","$56,100","$42,500","$49,300","$35,700","$22,100","$28,900","$15,300",0%,+6%,+2.7%,Jul 2026,"$42,500",Apr 2026,"$42,500",Jan 2026,"$42,500",Oct 2025,"$40,100",yes,"-10% for automatic transmission, +8% for R1 Package, +5% for touring package (not applied). Generation 1993-2002 Mazda RX-7. | -10% for automatic transmission; +8% for R1 Package; +5% for touring package"
47,1991,Acura,NSX,https://www.hagerty.com/valuation-tools/acura/nsx/1991/1991-acura-nsx-base?id=aCn1I000000CuGBSA0,"2dr Coupe, 6-cyl. 2977cc/270hp PGM-FI",Jul 2026,"$187,000","$207,000","$167,000","$127,000","$147,000","$108,167","$70,500","$89,333","$61,933","$44,800","$53,367","$36,233",+7%,+7%,+3.5%,Jul 2026,"$70,500",Apr 2026,"$65,900",Jan 2026,"$65,900",Oct 2025,"$65,900",yes,-5% for auto transmission (not applied). Generation 1991-1996 Acura NSX.
48,1990,Nissan,300ZX Twin Turbo,https://www.hagerty.com/valuation-tools/nissan/300zx/1990/1990-nissan-300zx-turbo?id=aCn1I000000CxBqSAK,"2dr T-Roof, 6-cyl. 2960cc/300hp Turbo SFI",Jul 2026,"$70,800","$77,133","$64,467","$51,800","$58,133","$43,700","$27,500","$35,600","$21,400","$9,200","$15,300","$3,100",0%,+5%,+13.6%,Jul 2026,"$27,500",Apr 2026,"$27,500",Jan 2026,"$26,200",Oct 2025,"$26,200",yes,-15% for auto transmission (not applied). HVT lists Twin Turbo as Turbo. Generation 1990-1996 Nissan 300ZX.
