car_id,year,make,model_trim,status,year_scope_used,window,basis,n,thin,median,p25,p75,min,max
21,1971,"Mercedes-Benz 280SL",compare,exact 1971,W3,mixed (14% house buyer-paid, rest sold+fee),51,no,106050,75627,147525,50400,232500
22,1957,"Mercedes-Benz 300SL Roadster",compare,adjacent years pooled (1955-1959),W1,mixed (88% house buyer-paid, rest sold+fee),5,yes,,,,,
22,1957,"Mercedes-Benz 300SL Roadster",compare,adjacent years pooled (1955-1959),W2,mixed (88% house buyer-paid, rest sold+fee),1,yes,,,,,
22,1957,"Mercedes-Benz 300SL Roadster",compare,adjacent years pooled (1955-1959),W3,mixed (88% house buyer-paid, rest sold+fee),16,no,1207500,1105000,1614375,945500,2892500
23,1965,"Austin-Healey 3000 Mk III",compare,exact 1965,W1,mixed (10% house buyer-paid, rest sold+fee),16,no,51713,40425,62081,14963,78750
23,1965,"Austin-Healey 3000 Mk III",compare,exact 1965,W2,mixed (10% house buyer-paid, rest sold+fee),2,yes,,,,,
23,1965,"Austin-Healey 3000 Mk III",compare,exact 1965,W3,mixed (10% house buyer-paid, rest sold+fee),21,no,52640,40950,67200,14963,78750
24,1967,"Alfa Romeo Giulia GT Veloce",compare,adjacent years pooled (1965-1969),W1,mixed (36% house buyer-paid, rest sold+fee),4,yes,,,,,
24,1967,"Alfa Romeo Giulia GT Veloce",compare,adjacent years pooled (1965-1969),W2,mixed (36% house buyer-paid, rest sold+fee),1,yes,,,,,
24,1967,"Alfa Romeo Giulia GT Veloce",compare,adjacent years pooled (1965-1969),W3,mixed (36% house buyer-paid, rest sold+fee),11,no,49350,43356,63525,32550,96255
25,1972,"Datsun 240Z",compare,adjacent years pooled (1970-1974),W1,mixed (63% house buyer-paid, rest sold+fee),5,yes,,,,,
25,1972,"Datsun 240Z",compare,adjacent years pooled (1970-1974),W2,mixed (63% house buyer-paid, rest sold+fee),1,yes,,,,,
25,1972,"Datsun 240Z",compare,adjacent years pooled (1970-1974),W3,mixed (63% house buyer-paid, rest sold+fee),8,no,29750,23219,39875,6143,51700
26,1967,"Volkswagen Beetle",compare,exact 1967,W1,mixed (4% house buyer-paid, rest sold+fee),26,no,18725,14306,21919,9975,52499
26,1967,"Volkswagen Beetle",compare,exact 1967,W2,mixed (4% house buyer-paid, rest sold+fee),2,yes,,,,,
26,1967,"Volkswagen Beetle",compare,exact 1967,W3,mixed (4% house buyer-paid, rest sold+fee),54,no,19032,14175,23514,8190,52499
27,1973,"BMW 2002 tii",compare,exact 1973,W1,sold+fee (online),11,no,28350,17630,42263,9452,73502
27,1973,"BMW 2002 tii",compare,exact 1973,W2,sold+fee (online),1,yes,,,,,
27,1973,"BMW 2002 tii",compare,exact 1973,W3,sold+fee (online),31,no,28350,22261,38195,9452,73502
28,1964,"Ferrari 250 Lusso",compare,adjacent years pooled (1962-1966),W1,mixed (94% house buyer-paid, rest sold+fee),10,no,1462500,1276875,1589100,310500,37670400
28,1964,"Ferrari 250 Lusso",compare,adjacent years pooled (1962-1966),W2,mixed (94% house buyer-paid, rest sold+fee),2,yes,,,,,
28,1964,"Ferrari 250 Lusso",compare,adjacent years pooled (1962-1966),W3,mixed (94% house buyer-paid, rest sold+fee),18,no,1445816,1359375,1502504,310500,37670400
29,1972,"Ferrari 365 Daytona",compare,adjacent years pooled (1970-1974),W1,mixed (76% house buyer-paid, rest sold+fee),8,no,588300,548519,691500,406400,893700
29,1972,"Ferrari 365 Daytona",compare,adjacent years pooled (1970-1974),W2,mixed (76% house buyer-paid, rest sold+fee),2,yes,,,,,
29,1972,"Ferrari 365 Daytona",compare,adjacent years pooled (1970-1974),W3,mixed (76% house buyer-paid, rest sold+fee),17,no,632000,582525,786000,406400,893700
30,1969,"Lamborghini Miura P400 S",compare,adjacent years pooled (1967-1971),W1,buyer-paid (houses),6,yes,,,,,
30,1969,"Lamborghini Miura P400 S",compare,adjacent years pooled (1967-1971),W2,buyer-paid (houses),1,yes,,,,,
30,1969,"Lamborghini Miura P400 S",compare,adjacent years pooled (1967-1971),W3,buyer-paid (houses),12,no,1886000,1568310,2348750,610000,3030000
31,1979,"Porsche 911 Turbo",compare,adjacent years pooled (1977-1981),W1,mixed (80% house buyer-paid, rest sold+fee),4,yes,,,,,
31,1979,"Porsche 911 Turbo",compare,adjacent years pooled (1977-1981),W2,mixed (80% house buyer-paid, rest sold+fee),0,yes,,,,,
31,1979,"Porsche 911 Turbo",compare,adjacent years pooled (1977-1981),W3,mixed (80% house buyer-paid, rest sold+fee),5,yes,,,,,
32,1987,"Porsche 911 Carrera",compare,exact 1987,W1,sold+fee (online),16,no,90038,73238,102113,49613,131250
